contrast_type,evaluation_mode,candidate_pool,system,baseline,metric,n_queries,delta,ci_low,ci_high,p_value,p_value_corrected,significant,first_stage,reranker,depth
vs_baseline,job_to_talent,observed,qwen8,bm25,recall@1,177,0.0923661555017487,0.0286721482378262,0.15596415119720194,0.0049,0.0588,False,,,
vs_baseline,job_to_talent,observed,sheared_llama,bm25,recall@1,177,-0.009281678773204197,-0.06847003631961257,0.0489650591875168,0.7562,1.0,False,,,
vs_baseline,job_to_talent,observed,snowflake,bm25,recall@1,177,0.0046518453298114324,-0.04850893927165111,0.05847313938415632,0.8653,1.0,False,,,
vs_baseline,job_to_talent,observed,bge,bm25,recall@5,177,-0.05969868173258005,-0.12104099408124831,0.0026837839655636285,0.0597,0.597,False,,,
vs_baseline,job_to_talent,observed,bge-base,bm25,recall@5,177,-0.09473610193949178,-0.1692521767309903,-0.022398454887861723,0.0108,0.1404,False,,,
vs_baseline,job_to_talent,observed,bge-large,bm25,recall@5,177,-0.07641059505466284,-0.14152297796365593,-0.01176880793406219,0.0192,0.2304,False,,,
vs_baseline,job_to_talent,observed,jina,bm25,recall@5,177,0.047117054320444135,-0.018341985227578437,0.11176350368087651,0.1574,1.0,False,,,
vs_baseline,job_to_talent,observed,minilm,bm25,recall@5,177,-0.005786068921662142,-0.059674071220681385,0.048898641377454914,0.8355,1.0,False,,,
vs_baseline,job_to_talent,observed,mpnet,bm25,recall@5,177,0.006152322254017165,-0.04958359319588134,0.06218842480495021,0.8313,1.0,False,,,
vs_baseline,job_to_talent,observed,qwen,bm25,recall@5,177,0.05089025851737716,-0.0038650273925697693,0.10541047582361142,0.0678,0.597,False,,,
vs_baseline,job_to_talent,observed,qwen3_embedding,bm25,recall@5,177,0.013323917137476457,-0.03861329701372074,0.0656932674199623,0.6152,1.0,False,,,
vs_baseline,job_to_talent,observed,qwen3_embedding4,bm25,recall@5,177,0.05084317753809279,0.0016359264558417149,0.1008076069410815,0.0444,0.4884,False,,,
vs_baseline,job_to_talent,observed,qwen3_embedding8,bm25,recall@5,177,0.04529434783672071,-0.002314702717245087,0.093885648250055,0.0662,0.597,False,,,
vs_baseline,job_to_talent,observed,qwen4,bm25,recall@5,177,0.04148078851468681,-0.02239224875877418,0.10407848154670186,0.1971,1.0,False,,,
vs_baseline,job_to_talent,observed,qwen8,bm25,recall@5,177,0.09002800401105485,0.028445135373101477,0.1503409855210702,0.0038,0.0532,False,,,
vs_baseline,job_to_talent,observed,sheared_llama,bm25,recall@5,177,-0.03361337344388192,-0.09675777141878836,0.027536411328784205,0.2838,1.0,False,,,
vs_baseline,job_to_talent,observed,snowflake,bm25,recall@5,177,-0.02914740626605034,-0.08983072247902757,0.02928436911487758,0.3415,1.0,False,,,
vs_baseline,job_to_talent,observed,bge,bm25,ndcg@5,177,-0.05765308536685503,-0.11326413304672286,-0.0019614933215251996,0.0434,0.3038,False,,,
vs_baseline,job_to_talent,observed,bge-base,bm25,ndcg@5,177,-0.10534169271108482,-0.16191002814066602,-0.04787768317480702,0.0005,0.006500000000000001,True,,,
vs_baseline,job_to_talent,observed,bge-large,bm25,ndcg@5,177,-0.07346720666619148,-0.13080628469910896,-0.015943811796269584,0.0126,0.1265,False,,,
vs_baseline,job_to_talent,observed,jina,bm25,ndcg@5,177,0.047366695505540686,-0.0061428488641805945,0.09979996979675444,0.0793,0.4758,False,,,
vs_baseline,job_to_talent,observed,minilm,bm25,ndcg@5,177,-0.0022488511184338444,-0.05079318931814936,0.04643345615685212,0.929,1.0,False,,,
vs_baseline,job_to_talent,observed,mpnet,bm25,ndcg@5,177,0.00951017782104868,-0.03873728181607254,0.05687212500317825,0.7074,1.0,False,,,
vs_baseline,job_to_talent,observed,qwen,bm25,ndcg@5,177,0.055020393595395935,0.006820869105301921,0.10225286059785607,0.0253,0.2024,False,,,
vs_baseline,job_to_talent,observed,qwen3_embedding,bm25,ndcg@5,177,0.0396699917625346,-0.005545958874484408,0.0839437933367067,0.0849,0.4758,False,,,
vs_baseline,job_to_talent,observed,qwen3_embedding4,bm25,ndcg@5,177,0.06113425301093767,0.013286359990662324,0.10891278908229708,0.0115,0.1265,False,,,
